100,40,0
"[14.505840365269066, 103.29440212891534]","[52.448938518329065, 127.24528573139436]","[0, 107]","[10, 100]","[20, 96]","[30, 97]","[40, 117]","[50, 100]","[60, 97]","[70, 121]"
"[14.253343788452622, 106.28991060741427]","[52.329354753455604, 127.22873379712615]","[0, 109]","[10, 98]","[20, 98]","[30, 100]","[40, 114]","[50, 100]","[60, 97]","[70, 121]"
"[13.99076781699887, 107.2618619357517]","[52.663309334361486, 124.2462935096548]","[0, 106]","[10, 99]","[20, 96]","[30, 101]","[40, 113]","[50, 101]","[60, 98]","[70, 118]"
"[14.319162458621237, 104.27757863840837]","[52.506654280424534, 126.2437537322156]","[0, 107]","[10, 98]","[20, 96]","[30, 98]","[40, 112]","[50, 100]","[60, 101]","[70, 120]"
"[14.215212003250594, 106.28425559358865]","[52.27890999312567, 130.2500111356878]","[0, 110]","[10, 98]","[20, 96]","[30, 100]","[40, 116]","[50, 101]","[60, 100]","[70, 124]"
"[14.131569998275525, 105.26060720402991]","[52.323533892246815, 125.20840644881933]","[0, 102]","[10, 99]","[20, 98]","[30, 99]","[40, 107]","[50, 100]","[60, 99]","[70, 119]"
"[19.193874237029743, 105.90009289125918]","[52.60311266643128, 123.22804422338551]","[10, 98]","[20, 97]","[30, 99]","[40, 108]","[50, 101]","[60, 99]","[70, 117]"
"[14.395652140937608, 104.28905466211161]","[52.30619699231084, 126.21581453513788]","[0, 108]","[10, 99]","[20, 96]","[30, 98]","[40, 110]","[50, 100]","[60, 98]","[70, 120]"
"[14.44133108576695, 106.31759197211333]","[52.78116600935931, 124.26268247555774]","[0, 110]","[10, 100]","[20, 100]","[30, 100]","[40, 115]","[50, 101]","[60, 99]","[70, 118]"
"[14.54363088982863, 103.30006390037889]","[52.448938518329065, 127.24528573139436]","[0, 106]","[10, 101]","[20, 97]","[30, 97]","[40, 113]","[50, 100]","[60, 101]","[70, 121]"
"[14.433623277427989, 104.29472886936279]","[52.87962643126966, 123.26676482826127]","[0, 108]","[10, 101]","[20, 95]","[30, 98]","[40, 115]","[50, 103]","[60, 97]","[70, 117]"
"[14.362115164214318, 105.29510463838659]","[52.68301031054204, 123.23929574761866]","[0, 107]","[10, 100]","[20, 98]","[30, 99]","[40, 110]","[50, 102]","[60, 98]","[70, 117]"
"[14.395652140937608, 104.28905466211161]","[52.48843541524855, 127.25072741890276]","[0, 108]","[10, 98]","[20, 97]","[30, 98]","[40, 113]","[50, 103]","[60, 99]","[70, 121]"
"[14.505840365269066, 103.29440212891534]","[52.54386218532141, 124.22956877220106]","[0, 105]","[10, 102]","[20, 96]","[30, 97]","[40, 111]","[50, 101]","[60, 97]","[70, 118]"
"[14.467866160239483, 103.2886989252545]","[52.06961173293562, 128.20219842004096]","[0, 106]","[10, 98]","[20, 98]","[30, 97]","[40, 110]","[50, 100]","[60, 97]","[70, 122]"
"[14.247673348477951, 105.27804446066953]","[52.46692297018031, 126.23824310690321]","[0, 109]","[10, 98]","[20, 95]","[30, 99]","[40, 110]","[50, 102]","[60, 100]","[70, 120]"
"[14.616570250717503, 102.29981716503113]","[52.28264363362789, 125.2026267831837]","[0, 108]","[10, 101]","[20, 94]","[30, 96]","[40, 110]","[50, 99]","[60, 96]","[70, 119]"
"[14.618671801562744, 103.31126422467722]","[52.26556693604255, 126.21011205523696]","[0, 112]","[10, 100]","[20, 94]","[30, 97]","[40, 113]","[50, 97]","[60, 97]","[70, 120]"
"[14.241924398095751, 104.2659379406135]","[52.87962643126966, 123.26676482826127]","[0, 106]","[10, 100]","[20, 93]","[30, 98]","[40, 113]","[50, 102]","[60, 100]","[70, 117]"
"[14.620761959552187, 104.32248816560343]","[52.10426217000195, 131.2354565453035]","[0, 111]","[10, 100]","[20, 98]","[30, 98]","[40, 113]","[50, 102]","[60, 100]","[70, 125]"
"[14.253343788452622, 106.28991060741427]","[52.762174228542456, 123.25039496766688]","[0, 106]","[10, 104]","[20, 95]","[30, 100]","[40, 116]","[50, 98]","[60, 98]","[70, 117]"
"[14.203019475185723, 104.26004846596487]","[52.05422066101299, 129.20971907061488]","[0, 99]","[10, 103]","[20, 96]","[30, 98]","[40, 115]","[50, 98]","[60, 96]","[70, 123]"
"[14.170458317990168, 105.26646330239586]","[52.64391015096562, 125.25321752323353]","[0, 103]","[10, 98]","[20, 99]","[30, 99]","[40, 113]","[50, 102]","[60, 99]","[70, 119]"
"[14.767301702380768, 104.34398605471269]","[52.46332314565356, 124.21822526246204]","[0, 113]","[10, 101]","[20, 99]","[30, 98]","[40, 110]","[50, 101]","[60, 96]","[70, 118]"
"[14.35750112916052, 104.28333059458954]","[51.84812380168087, 129.18092694347212]","[0, 106]","[10, 100]","[20, 96]","[30, 98]","[40, 108]","[50, 100]","[60, 96]","[70, 123]"
"[14.512165870178794, 105.31728010736747]","[52.329354753455604, 127.22873379712615]","[0, 113]","[10, 99]","[20, 97]","[30, 99]","[40, 111]","[50, 100]","[60, 100]","[70, 121]"
"[14.802825065184928, 102.32765118491086]","[52.435347578003785, 130.27119954912868]","[0, 108]","[10, 103]","[20, 97]","[30, 96]","[40, 116]","[50, 104]","[60, 101]","[70, 124]"
"[13.85395762499135, 105.21838154811095]","[52.503680193310835, 124.22391593489078]","[0, 103]","[10, 97]","[20, 92]","[30, 99]","[40, 116]","[50, 98]","[60, 94]","[70, 118]"
"[14.241924398095751, 104.2659379406135]","[52.44108246859267, 123.20506045851893]","[0, 106]","[10, 99]","[20, 94]","[30, 98]","[40, 110]","[50, 96]","[60, 98]","[70, 117]"
"[14.22706311305785, 108.3075102487718]","[52.09488736811433, 129.21536096679424]","[0, 113]","[10, 100]","[20, 97]","[30, 102]","[40, 110]","[50, 101]","[60, 99]","[70, 123]"
"[14.728860235191902, 102.3166398788961]","[52.6236617248925, 124.24075564936523]","[0, 110]","[10, 100]","[20, 96]","[30, 96]","[40, 113]","[50, 100]","[60, 98]","[70, 118]"
"[14.106794908648283, 107.27911510093867]","[52.60449055282899, 125.24774991980709]","[0, 110]","[10, 102]","[20, 92]","[30, 101]","[40, 112]","[50, 101]","[60, 100]","[70, 119]"
"[14.654180837437044, 102.30546578421519]","[52.255715292815374, 129.2375442152598]","[0, 108]","[10, 98]","[20, 98]","[30, 96]","[40, 114]","[50, 100]","[60, 100]","[70, 123]"
"[14.576293460199405, 101.28233694825279]","[52.167369002371174, 127.20613101732893]","[0, 106]","[10, 100]","[20, 93]","[30, 95]","[40, 110]","[50, 100]","[60, 97]","[70, 121]"
"[14.984671073557116, 102.35449377963508]","[52.506654280424534, 126.2437537322156]","[0, 113]","[10, 99]","[20, 101]","[30, 96]","[40, 115]","[50, 100]","[60, 98]","[70, 120]"
"[13.873051318398769, 107.24422468849465]","[52.364212023198235, 125.21414250008421]","[0, 104]","[10, 98]","[20, 96]","[30, 101]","[40, 110]","[50, 100]","[60, 97]","[70, 119]"
"[13.900577691951849, 110.28105478632864]","[52.44108246859267, 123.20506045851893]","[0, 113]","[10, 98]","[20, 96]","[30, 104]","[40, 112]","[50, 97]","[60, 95]","[70, 117]"
"[14.35750112916052, 104.28333059458954]","[52.70275526893015, 124.2517920476909]","[0, 105]","[10, 100]","[20, 97]","[30, 98]","[40, 113]","[50, 102]","[60, 98]","[70, 118]"
"[15.211384675019039, 98.34428984579509]","[52.22474387743943, 126.20436914150238]","[0, 106]","[10, 101]","[20, 100]","[30, 92]","[40, 110]","[50, 99]","[60, 97]","[70, 120]"
"[14.912450518275715, 102.34387305847964]","[52.208124333160704, 127.21183719585635]","[0, 114]","[10, 98]","[20, 99]","[30, 96]","[40, 108]","[50, 99]","[60, 101]","[70, 121]"
"[14.253343788452622, 106.28991060741427]","[52.08527433008096, 127.19459548085791]","[0, 106]","[10, 101]","[20, 98]","[30, 100]","[40, 110]","[50, 99]","[60, 96]","[70, 121]"
"[14.247673348477951, 105.27804446066953]","[53.0337546746694, 123.28807496313874]","[0, 113]","[10, 98]","[20, 91]","[30, 99]","[40, 115]","[50, 105]","[60, 99]","[70, 117]"
"[14.291301977945503, 106.2955270542725]","[52.4269910033218, 126.23268952925491]","[0, 109]","[10, 100]","[20, 97]","[30, 100]","[40, 111]","[50, 100]","[60, 100]","[70, 120]"
"[14.505840365269066, 103.29440212891534]","[52.40471521454362, 125.21983864303142]","[0, 103]","[10, 102]","[20, 98]","[30, 97]","[40, 110]","[50, 100]","[60, 98]","[70, 119]"
"[14.622847525830423, 105.33349742215033]","[52.70275526893015, 124.2517920476909]","[0, 111]","[10, 102]","[20, 99]","[30, 99]","[40, 110]","[50, 101]","[60, 102]","[70, 118]"
"[14.471411448849167, 104.30036163287762]","[52.82215773408995, 122.24902544239858]","[0, 110]","[10, 98]","[20, 97]","[30, 98]","[40, 114]","[50, 99]","[60, 98]","[70, 116]"
"[14.474917657358503, 105.31179571621863]","[52.40471521454362, 125.21983864303142]","[0, 114]","[10, 98]","[20, 96]","[30, 99]","[40, 109]","[50, 101]","[60, 98]","[70, 119]"
"[13.695530864921231, 109.23995050224015]","[52.68313104016914, 125.2586466032101]","[0, 103]","[10, 101]","[20, 95]","[30, 103]","[40, 114]","[50, 101]","[60, 100]","[70, 119]"
"[14.61445933938688, 101.28814156624765]","[52.80150461561795, 123.25589117385067]","[0, 104]","[10, 99]","[20, 97]","[30, 95]","[40, 115]","[50, 100]","[60, 98]","[70, 117]"
"[14.319162458621237, 104.27757863840837]","[52.9006876556877, 122.26003443500144]","[0, 109]","[10, 98]","[20, 94]","[30, 98]","[40, 111]","[50, 103]","[60, 99]","[70, 116]"
"[14.362115164214318, 105.29510463838659]","[52.60449055282899, 125.24774991980709]","[0, 108]","[10, 98]","[20, 99]","[30, 99]","[40, 115]","[50, 101]","[60, 97]","[70, 119]"
"[14.692990963623032, 103.322301446657]","[52.64245143250805, 121.21352238053349]","[0, 110]","[10, 102]","[20, 96]","[30, 97]","[40, 110]","[50, 99]","[60, 95]","[70, 115]"
"[14.72988746763524, 103.32776102378715]","[52.78116600935931, 124.26268247555774]","[0, 113]","[10, 100]","[20, 96]","[30, 97]","[40, 115]","[50, 100]","[60, 100]","[70, 118]"
"[14.236096847851506, 103.25358078109295]","[52.09488736811433, 129.21536096679424]","[0, 103]","[10, 98]","[20, 95]","[30, 97]","[40, 113]","[50, 100]","[60, 97]","[70, 123]"
"[13.894201042835517, 105.22454911963092]","[52.05422066101299, 129.20971907061488]","[0, 102]","[10, 97]","[20, 94]","[30, 99]","[40, 112]","[50, 99]","[60, 98]","[70, 123]"
"[14.549231183992426, 105.32272482697923]","[52.40923697366854, 127.23980336312212]","[0, 112]","[10, 100]","[20, 98]","[30, 99]","[40, 112]","[50, 106]","[60, 95]","[70, 121]"
"[14.433623277427989, 104.29472886936279]","[52.6236617248925, 124.24075564936523]","[0, 106]","[10, 101]","[20, 97]","[30, 98]","[40, 114]","[50, 99]","[60, 98]","[70, 118]"
"[13.823549520205948, 106.22535044882204]","[52.30619699231084, 126.21581453513788]","[0, 96]","[10, 99]","[20, 99]","[30, 100]","[40, 112]","[50, 99]","[60, 97]","[70, 120]"
"[13.649715420914085, 105.1868371689712]","[52.12641875173385, 127.20038362172559]","[0, 96]","[10, 97]","[20, 94]","[30, 99]","[40, 112]","[50, 98]","[60, 96]","[70, 121]"
"[14.654180837437044, 102.30546578421519]","[52.56487283147206, 125.24224070767646]","[0, 105]","[10, 100]","[20, 99]","[30, 96]","[40, 111]","[50, 101]","[60, 100]","[70, 119]"
"[19.457984417405203, 101.90617188049619]","[52.54386218532141, 124.22956877220106]","[10, 97]","[20, 98]","[30, 95]","[40, 108]","[50, 102]","[60, 99]","[70, 118]"
"[14.766606391544787, 103.33318023295247]","[52.2722908622615, 128.23038184705334]","[0, 109]","[10, 103]","[20, 98]","[30, 97]","[40, 114]","[50, 101]","[60, 97]","[70, 122]"
"[14.203019475185723, 104.26004846596487]","[52.762174228542456, 123.25039496766688]","[0, 102]","[10, 102]","[20, 94]","[30, 98]","[40, 114]","[50, 101]","[60, 97]","[70, 117]"
"[14.474917657358503, 105.31179571621863]","[52.36939833388557, 127.2342901025514]","[0, 112]","[10, 99]","[20, 97]","[30, 99]","[40, 114]","[50, 102]","[60, 96]","[70, 121]"
"[14.395652140937608, 104.28905466211161]","[53.0171940170892, 122.2762726972443]","[0, 106]","[10, 100]","[20, 97]","[30, 98]","[40, 112]","[50, 104]","[60, 100]","[70, 116]"
"[14.505840365269066, 103.29440212891534]","[52.323533892246815, 125.20840644881933]","[0, 104]","[10, 102]","[20, 97]","[30, 97]","[40, 109]","[50, 99]","[60, 98]","[70, 119]"
"[14.092489268563003, 105.25470746890922]","[52.448938518329065, 127.24528573139436]","[0, 101]","[10, 99]","[20, 98]","[30, 99]","[40, 113]","[50, 100]","[60, 101]","[70, 121]"
"[14.247673348477951, 105.27804446066953]","[52.68313104016914, 125.2586466032101]","[0, 106]","[10, 99]","[20, 97]","[30, 99]","[40, 114]","[50, 100]","[60, 101]","[70, 119]"
"[14.583692203313433, 104.31701664975475]","[52.64314819615534, 123.23368947302959]","[0, 109]","[10, 102]","[20, 97]","[30, 98]","[40, 116]","[50, 98]","[60, 95]","[70, 117]"
"[14.215212003250594, 106.28425559358865]","[52.38691727241955, 126.22710379300588]","[0, 107]","[10, 100]","[20, 97]","[30, 100]","[40, 114]","[50, 98]","[60, 98]","[70, 120]"
"[14.138386136904437, 106.27281720977993]","[52.329354753455604, 127.22873379712615]","[0, 105]","[10, 99]","[20, 98]","[30, 100]","[40, 112]","[50, 100]","[60, 99]","[70, 121]"
"[14.509017912123428, 104.3059532841905]","[52.6236617248925, 124.24075564936523]","[0, 109]","[10, 100]","[20, 97]","[30, 98]","[40, 111]","[50, 100]","[60, 100]","[70, 118]"
"[14.286004508358587, 105.28377736258243]","[52.60449055282899, 125.24774991980709]","[0, 108]","[10, 97]","[20, 98]","[30, 99]","[40, 115]","[50, 98]","[60, 100]","[70, 119]"
"[14.581241935722666, 103.30568434206442]","[52.38691727241955, 126.22710379300588]","[0, 106]","[10, 103]","[20, 96]","[30, 97]","[40, 113]","[50, 99]","[60, 98]","[70, 120]"
"[14.471411448849167, 104.30036163287762]","[52.26556693604255, 126.21011205523696]","[0, 107]","[10, 101]","[20, 97]","[30, 98]","[40, 110]","[50, 98]","[60, 99]","[70, 120]"
"[14.021753112643784, 106.2553458768403]","[52.38691727241955, 126.22710379300588]","[0, 102]","[10, 101]","[20, 96]","[30, 100]","[40, 113]","[50, 101]","[60, 96]","[70, 120]"
"[14.060818977821752, 106.26121120920878]","[52.26556693604255, 126.21011205523696]","[0, 105]","[10, 99]","[20, 96]","[30, 100]","[40, 111]","[50, 99]","[60, 97]","[70, 120]"
"[14.546441685570317, 104.31150493354039]","[52.295473873228026, 129.24299691211175]","[0, 110]","[10, 99]","[20, 98]","[30, 98]","[40, 114]","[50, 102]","[60, 99]","[70, 123]"
"[14.291301977945503, 106.2955270542725]","[52.40471521454362, 125.21983864303142]","[0, 109]","[10, 98]","[20, 99]","[30, 100]","[40, 110]","[50, 102]","[60, 96]","[70, 119]"
"[14.502631894410579, 102.28261828579299]","[52.34663686462647, 126.22147631100943]","[0, 103]","[10, 99]","[20, 98]","[30, 96]","[40, 112]","[50, 102]","[60, 95]","[70, 120]"
"[14.35750112916052, 104.28333059458954]","[52.8406373442521, 123.26134338692798]","[0, 107]","[10, 99]","[20, 96]","[30, 98]","[40, 112]","[50, 103]","[60, 99]","[70, 117]"
"[14.247673348477951, 105.27804446066953]","[52.15122675707719, 128.2135866273326]","[0, 106]","[10, 100]","[20, 96]","[30, 99]","[40, 112]","[50, 98]","[60, 99]","[70, 122]"
"[14.728860235191902, 102.3166398788961]","[52.68301031054204, 123.23929574761866]","[0, 107]","[10, 103]","[20, 96]","[30, 96]","[40, 112]","[50, 99]","[60, 99]","[70, 117]"
"[14.474917657358503, 105.31179571621863]","[52.167369002371174, 127.20613101732893]","[0, 109]","[10, 101]","[20, 98]","[30, 99]","[40, 109]","[50, 100]","[60, 98]","[70, 121]"
"[14.546441685570317, 104.31150493354039]","[52.391739063987636, 128.24683874041602]","[0, 108]","[10, 99]","[20, 100]","[30, 98]","[40, 113]","[50, 100]","[60, 102]","[70, 122]"
"[14.654180837437044, 102.30546578421519]","[52.68301031054204, 123.23929574761866]","[0, 107]","[10, 100]","[20, 97]","[30, 96]","[40, 114]","[50, 98]","[60, 98]","[70, 117]"
"[14.690234107168909, 101.29962276500744]","[52.38691727241955, 126.22710379300588]","[0, 109]","[10, 98]","[20, 95]","[30, 95]","[40, 110]","[50, 100]","[60, 100]","[70, 120]"
"[14.163931712644583, 104.25411953915697]","[52.74205830445645, 124.25725716630339]","[0, 103]","[10, 97]","[20, 97]","[30, 98]","[40, 113]","[50, 101]","[60, 100]","[70, 118]"
"[14.509017912123428, 104.3059532841905]","[52.6236617248925, 124.24075564936523]","[0, 113]","[10, 98]","[20, 95]","[30, 98]","[40, 112]","[50, 101]","[60, 98]","[70, 118]"
"[14.176891245998975, 106.27855723949196]","[52.079446572586015, 130.22271793079233]","[0, 107]","[10, 100]","[20, 96]","[30, 100]","[40, 112]","[50, 100]","[60, 100]","[70, 124]"
"[14.549231183992426, 105.32272482697923]","[52.23214254449565, 128.22482486333732]","[0, 112]","[10, 100]","[20, 98]","[30, 99]","[40, 112]","[50, 101]","[60, 98]","[70, 122]"
"[14.236096847851506, 103.25358078109295]","[52.42275748046966, 124.21249226242111]","[0, 101]","[10, 100]","[20, 95]","[30, 97]","[40, 111]","[50, 97]","[60, 98]","[70, 118]"
"[14.912450518275715, 102.34387305847964]","[52.1353442001298, 129.22096026934605]","[0, 109]","[10, 104]","[20, 98]","[30, 96]","[40, 110]","[50, 101]","[60, 100]","[70, 123]"
"[14.329073112292987, 106.3011036107691]","[52.364212023198235, 125.21414250008421]","[0, 111]","[10, 98]","[20, 98]","[30, 100]","[40, 109]","[50, 100]","[60, 98]","[70, 119]"
"[14.474917657358503, 105.31179571621863]","[52.323533892246815, 125.20840644881933]","[0, 110]","[10, 98]","[20, 100]","[30, 99]","[40, 112]","[50, 98]","[60, 96]","[70, 119]"
"[14.467866160239483, 103.2886989252545]","[52.208124333160704, 127.21183719585635]","[0, 109]","[10, 96]","[20, 97]","[30, 97]","[40, 107]","[50, 100]","[60, 101]","[70, 121]"
"[14.241924398095751, 104.2659379406135]","[52.663309334361486, 124.2462935096548]","[0, 105]","[10, 97]","[20, 97]","[30, 98]","[40, 113]","[50, 100]","[60, 99]","[70, 118]"
"[14.655921427908488, 103.31680246770208]","[52.68301031054204, 123.23929574761866]","[0, 112]","[10, 100]","[20, 95]","[30, 97]","[40, 114]","[50, 100]","[60, 96]","[70, 117]"
"[14.099694941512858, 106.26703477412937]","[52.70275526893015, 124.2517920476909]","[0, 101]","[10, 102]","[20, 98]","[30, 100]","[40, 113]","[50, 100]","[60, 100]","[70, 118]"
"[14.581241935722666, 103.30568434206442]","[52.82007738204865, 124.26806807890856]","[0, 109]","[10, 102]","[20, 94]","[30, 97]","[40, 112]","[50, 103]","[60, 101]","[70, 118]"
"[14.247673348477951, 105.27804446066953]","[52.167369002371174, 127.20613101732893]","[0, 107]","[10, 99]","[20, 96]","[30, 99]","[40, 114]","[50, 97]","[60, 96]","[70, 121]"
"[14.324151685971653, 105.28946002675737]","[52.48514940691355, 125.23111443616156]","[0, 107]","[10, 98]","[20, 99]","[30, 99]","[40, 113]","[50, 98]","[60, 99]","[70, 119]"
"[14.616570250717503, 102.29981716503113]","[52.25870757402038, 124.18916634656136]","[0, 109]","[10, 98]","[20, 96]","[30, 96]","[40, 111]","[50, 96]","[60, 95]","[70, 118]"
"[14.324151685971653, 105.28946002675737]","[52.52511294761758, 125.2366992666605]","[0, 107]","[10, 100]","[20, 97]","[30, 99]","[40, 114]","[50, 100]","[60, 97]","[70, 119]"
"[14.395652140937608, 104.28905466211161]","[52.1917877178713, 128.21922660294672]","[0, 110]","[10, 97]","[20, 96]","[30, 98]","[40, 110]","[50, 100]","[60, 100]","[70, 122]"
"[14.176891245998975, 106.27855723949196]","[52.52511294761758, 125.2366992666605]","[0, 107]","[10, 100]","[20, 96]","[30, 100]","[40, 113]","[50, 99]","[60, 99]","[70, 119]"
"[14.474917657358503, 105.31179571621863]","[52.42275748046966, 124.21249226242111]","[0, 111]","[10, 97]","[20, 100]","[30, 99]","[40, 111]","[50, 100]","[60, 95]","[70, 118]"
"[14.366672249933297, 106.30663931973929]","[52.101151717643894, 126.18689999328927]","[0, 109]","[10, 104]","[20, 95]","[30, 100]","[40, 107]","[50, 99]","[60, 97]","[70, 120]"
"[13.968646000757376, 109.28036507195323]","[52.68313104016914, 125.2586466032101]","[0, 109]","[10, 99]","[20, 98]","[30, 103]","[40, 116]","[50, 101]","[60, 98]","[70, 119]"
"[14.505840365269066, 103.29440212891534]","[52.40471521454362, 125.21983864303142]","[0, 103]","[10, 101]","[20, 99]","[30, 97]","[40, 111]","[50, 101]","[60, 96]","[70, 119]"
"[13.912478565200969, 107.25014697453341]","[52.4269910033218, 126.23268952925491]","[0, 107]","[10, 97]","[20, 95]","[30, 101]","[40, 112]","[50, 100]","[60, 99]","[70, 120]"
"[14.319162458621237, 104.27757863840837]","[52.34663686462647, 126.22147631100943]","[0, 105]","[10, 99]","[20, 97]","[30, 98]","[40, 111]","[50, 99]","[60, 99]","[70, 120]"
"[14.395652140937608, 104.28905466211161]","[52.01780594278584, 126.17504967708062]","[0, 104]","[10, 102]","[20, 97]","[30, 98]","[40, 109]","[50, 95]","[60, 97]","[70, 120]"
"[14.691609688834877, 102.31107322875376]","[52.60449055282899, 125.24774991980709]","[0, 108]","[10, 102]","[20, 95]","[30, 96]","[40, 109]","[50, 103]","[60, 101]","[70, 119]"
"[14.395652140937608, 104.28905466211161]","[52.11052428753377, 128.20791380101096]","[0, 110]","[10, 97]","[20, 96]","[30, 98]","[40, 112]","[50, 100]","[60, 96]","[70, 122]"
"[14.657659265041286, 104.32792080784958]","[52.18374397366084, 126.19858915740878]","[0, 112]","[10, 101]","[20, 97]","[30, 98]","[40, 109]","[50, 98]","[60, 98]","[70, 120]"
"[14.35750112916052, 104.28333059458954]","[53.1164026026198, 121.28044623766041]","[0, 105]","[10, 100]","[20, 97]","[30, 98]","[40, 116]","[50, 99]","[60, 101]","[70, 115]"
"[14.319162458621237, 104.27757863840837]","[52.38691727241955, 126.22710379300588]","[0, 102]","[10, 102]","[20, 97]","[30, 98]","[40, 109]","[50, 101]","[60, 100]","[70, 120]"
"[14.505840365269066, 103.29440212891534]","[52.663309334361486, 124.2462935096548]","[0, 109]","[10, 99]","[20, 95]","[30, 97]","[40, 111]","[50, 101]","[60, 100]","[70, 118]"
"[14.692990963623032, 103.322301446657]","[52.38691727241955, 126.22710379300588]","[0, 108]","[10, 102]","[20, 98]","[30, 97]","[40, 110]","[50, 101]","[60, 99]","[70, 120]"
"[14.236096847851506, 103.25358078109295]","[52.918421802753535, 123.27214695410045]","[0, 102]","[10, 100]","[20, 94]","[30, 97]","[40, 111]","[50, 105]","[60, 100]","[70, 117]"
"[14.766606391544787, 103.33318023295247]","[52.24872063087771, 127.21750893926249]","[0, 109]","[10, 103]","[20, 98]","[30, 97]","[40, 111]","[50, 98]","[60, 100]","[70, 121]"
"[13.882371937671943, 108.25675360343767]","[52.24158977453611, 125.19681052173406]","[0, 105]","[10, 99]","[20, 97]","[30, 102]","[40, 107]","[50, 99]","[60, 98]","[70, 119]"
"[14.189485307029694, 108.30203189212338]","[52.323533892246815, 125.20840644881933]","[0, 108]","[10, 102]","[20, 99]","[30, 102]","[40, 109]","[50, 99]","[60, 98]","[70, 119]"
